Please rephrase the text	Positive
Raeya was born on October 24, 2013, weighing 7 pounds and 13 ounces. You can see a photo of her at http://instagram.com/p/f33TWdgtea/.	1
Celebrate the birthday of DeLayni Kay Lynn Cudney on December 4th, 2015, as she was born at 1:22 pm weighing 8lbs 3oz.	1
Introducing our newborn baby girl! Paityn arrived on December 16, 2015, at 6:24am, weighing 7lbs 13oz and measuring 21 inches in length.	1
Today marks the expected delivery date but my daughter has yet to arrive.	1
I will be 37 weeks pregnant today. The following week will be my final week working at Dominos.	1
I have 13 days left until my baby's expected arrival.	1
I am approaching my due date tomorrow, but it seems like my baby Avayah is not showing any signs of wanting to come out. I am feeling a mix of frustration and disbelief.	1
I find it extremely offensive that my mother has the audacity to refer to me as overweight. I am currently 37 weeks pregnant, for goodness sake!	1
My little one has arrived! Weighing 7 pounds 7 ounces and measuring 20 inches long. I am absolutely smitten with love.	1
My doctor is not willing to listen to me when I told them that I am scheduled for childbirth on the 29th. I am currently 39 weeks pregnant and I asked them if it could happen on Thursday, but they do not seem interested in considering it.	1
Will the baby arrive tonight or tomorrow?	1
Our baby boy's size is almost 9lbs and it seems like he's measuring as though my due date has already passed.	1
Terrance Lionell Taylor Junior was born at 2:31 a.m, weighing 8 lbs 11 oz and measuring 21 and a half inches long. He is absolutely perfect and resembles his father. #hesPERFECT #lookinglikedaddy	1
Calvin Scott was born at 2:44 am, weighing 6lb 5oz. With only a few pushes, he arrived! He's been eating voraciously ever since.	1
I reside in Australia and do not possess private health insurance. I am currently 37 weeks pregnant and have been diagnosed with gestational diabetes. Additionally, I am medically retired due to a chronic condition.	1
Princess has arrived! Weighing 9lbs 1oz and measuring 21 inches, Nyla Ann Holmes is the epitome of perfection!	1
Baby Brynn has arrived! She was born on June 27th at 7:36pm, weighing 8 pounds and 5 ounces, and measuring 21 inches in length.	1
Raeya was born on October 24, 2013, weighing 7 pounds 13 ounces. You can see a picture of her on Instagram at the following link: [link].	1
Today is the joyful celebration of DeLayni Kay Lynn Cudney's birthday, which falls on December 4th, 2015. DeLayni was born at 1:22pm, weighing a healthy 8 pounds and 3 ounces.	1
We are excited to announce the arrival of our baby girl! She was born on December 16th, 2015 at 6:24am, weighing 7lbs 13oz and measuring 21in long. Let us introduce you to our precious little one, Paityn ♡	1
Today is the expected date of delivery and my daughter has not yet arrived.	1
I will be completing my 37th week of pregnancy today. After this week, I will be finishing my employment at Dominos next week.	1
There are 13 days remaining until my baby's expected arrival.	1
I am approaching my anticipated delivery date, but it seems like Avayah is not making any effort to be born yet. It's a bit frustrating and unexpected.	1
Introducing our cherished bundle of joy, Camden James Krysh, who entered the world on January 10, 2015, weighing a healthy 7 pounds 6 ounces. We couldn't be more delighted!	1
We are overjoyed to welcome Ellie Marie Brencher into our lives. She weighs 7 pounds and 12 ounces and is 20 inches long. Ellie completes our family and brings us immense happiness.	1
Raeleigh Annalyn Smith was born in the evening of August 25th, 2014. She weighed 7 pounds and 3 ounces at birth.	1
I am nearing my due date and it's only three days away, yet my baby has not arrived yet.	1
I find it incredibly offensive that my mother has the audacity to comment on my weight while I am 37 weeks pregnant. It is truly disgusting.	1
I am overwhelmed with joy as my little one has finally arrived! Weighing 7 pounds and 7 ounces, and measuring 20 inches in length, I am completely smitten.	1
I have an appointment on the 29th, but my doctor is not willing to listen to me. I will be 39 weeks on Thursday, and I asked if I could be induced then, but they were not receptive.	1
Tomorrow marks the day when my baby is expected to arrive.	1
"I previously cautioned you about feeling uncomfortable, but there's a significant difference between being 38 weeks pregnant like me and giving birth at 32 weeks, as you did."	1
I am currently 40 weeks and 4 days pregnant, which means my baby could come any day now. I'm in no hurry though, and I'm embracing the funny waddle of a penguin when I walk.	1
I am unable to join everyone on a warm vacation as I am 38 weeks pregnant and unable to travel.	1
I was unable to post anything due to the urgent need for a C-Section. My daughter, Evangelyn Abigail Perez, was born on May 25th, 2016 at 8:20am, weighing 7lbs 9oz and measuring 20.5 inches in length. We are delighted to welcome our baby girl.	1
I will be giving birth in 10 days.	1
I only have 4 days left until my baby's due date! I hope it won't be much longer now, I feel like I could go into labor any moment haha xx	1
I am amazed that my deadline is only two days away, and if my baby doesn't arrive by Tuesday, I will have to be induced that evening. The moment is getting so near!	1
My scheduled induction for today at 5 pm was unexpectedly cancelled. However, since my due date is in 10 days, my baby could arrive at any time.	1
There is no consistent pattern for when the baby will arrive, but I wouldn't mind if she came now. I will be 38 weeks pregnant tomorrow.	1
I am feeling extremely frustrated as my expected delivery date has arrived, but there are no indications that the baby is coming any time soon.	1
She weighed 6lbs 9oz when she was born, but now she only weighs 15 lbs.	1
I am feeling overwhelmed and unsure of how to cope with my current state of being as there are numerous body parts inside me, with only four days remaining until my baby's due date.	1
I can't believe it's only 8 days until my baby is due! I'm not exactly sure what that means, but I'm not stressing about it because I have decided to let go and go with the flow.	1
I'm feeling quite uncertain if my baby received the message that it's supposed to arrive tomorrow. Typically, none of my previous pregnancies had the baby come before the due date. This is definitely a pregnancy problem.	1
Let's check in! What were the weights of your babies at birth? My little one weighed in at 6 pounds and 10 ounces! #newborn #weight #lbs #oz #kilos	1
O'mari has arrived at last, weighing 7 pounds and 14 ounces, and he is truly flawless.	1
Carter Ray Jordan was born on January 31st at 4:58 am, weighing 7lbs 2oz and measuring 20.5 inches long. My heart feels complete and overflowing with joy.	1
I have 12 more days until my due date.	1
I am now a mother! My husband and I joyfully greeted the arrival of our baby girl, Adeline Michelle. She weighed 6 pounds 14 ounces, measured 19 and 3/4 inches in length, and has a beautiful head of blonde hair!	1
I am currently 37 weeks pregnant, which means that in just two more weeks, I will be welcoming my baby boy into the world, making him the perfect gift for the upcoming new year.	1
Tomorrow is the day when my deadline is scheduled.	1
I am delighted to announce the arrival of my adorable son, Jase Malik, who has a face full of lovely freckles. He weighed 8 pounds and 3 ounces. I am absolutely smitten with him!	1
I'll be giving birth in just 4 days. Yay! Celebrating the joys of being 9 months pregnant, embracing my natural appearance with no makeup (except for a little help from a filter).	1
I am really nervous because tomorrow is my deadline. It's quite frightening.	1
Shakil is so utterly clueless that he seems to forget that I am in my 38th week of pregnancy, and he just leaves me alone at home, shaking my head in disbelief.	1
I have a little over two weeks until my baby is due.	1
I am scheduled to give birth in 3 days, but if the baby doesn't arrive naturally, I will have to be medically induced in 10 days. My midwife has approved this plan since the baby has already received steroid shots.	1
I can't believe it, but I only have 17 days left until my due date. Time has flown by so quickly.	1
Today is the day I hope my baby, Michael, is born, as it is his expected due date.	1
I can't believe it, but I'm already 38 weeks pregnant! This is the most pregnant I've ever been.	1
I am eagerly awaiting the arrival of my baby! Today is the expected due date and I can't wait for their arrival.	1
My baby has gained 9 ounces since he was born and now weighs 7 pounds and 15 ounces.	1
I will be having waffles and macaroni and cheese for dinner tonight as I am 38 weeks into my pregnancy and those are the only foods that I have been craving.	1
I am thrilled to introduce Nova Helene Estrada, who was born on August 21st, 2017, at 2:56pm, weighing 7lbs 6oz. I have never experienced a love as intense as this, and I am completely enamored with my baby.	1
I was supposed to give birth yesterday, but there are no signs of labor yet. Since the baby weighs 9 pounds, I am currently undergoing induction to start the delivery process.	1
I am feeling extremely aggravated today as it is the day that I was expecting to give birth.	1
We were expecting the end of the baby's arrival, but she surprised us and came three days earlier. Our lovely daughter was born on July 21st, 2014, weighing 8 pounds 2 ounces. We named her Lyla Jayne Goldsmith.	1
I am currently in the 39th week of my pregnancy.	1
I'm really looking forward to my due date in 9 days. I'm feeling so prepared and eager to finally meet my baby boy.	1
Introducing the newest addition to our family, Riley Josephine! She came into the world on July 17th, 2017 at 11:08pm. We are thrilled to announce that she weighs a remarkable 9lbs 6oz and measures 22 inches. Most importantly, she is in great health and absolutely flawless.	1
Our daughter has been born. She came into the world at 12:48, weighing 7 pounds 3 ounces and measuring 18.5 inches in length.	1
I will only have one more week until my due date. Eva, please come sooner!	1
I'm sorry, but you'll have to leave soon, chunky boy. My due date is in 10 days.	1
Yesterday, at 3:06 PM, Carson Grey Dushack was born, weighing 7 lbs 3oz. I am overwhelmed with joy at how perfect he is.	1
Today is the day I am supposed to give birth, haha...	1
Just 9 more days until my baby boy is due! I am so excited for his arrival. Can't wait to become a proud mommy!	1
I was watching a show called One Born and I witnessed a remarkable moment where a 16-year-old girl successfully gave birth to a baby weighing 8 pounds and 14 ounces. This young girl showed incredible strength and resilience during the delivery. It reminded me of my own experience with childbirth when my daughter Olivia was born, who weighed 8 pounds and posed a significant challenge.	1
I am Ella Grace, born on June 26th, 2013, at 4:39 pm. I weigh 6 pounds 13 ounces and measure 19.5 inches in length.	1
Charlie Armas Gerardo made his entrance into the world on September 12, 2017, at exactly 7:17 pm. Weighing in at 6 pounds and 7 ounces.	1
Joel's initial measurements at birth were 20 inches in length and weighing 7 pounds, 3 ounces. At his 3-month check-up, he measured 26 inches in length and weighed 16 pounds. At his 5-month check-up, Joel was measured at 28 inches in length and weighed 17 pounds, 12 ounces.	1
I am currently 38 weeks pregnant, and since it was my first time, the cost of the service was only $39.	1
Paige Marie Francis was born on October 29th at 1:38am, weighing 8 pounds and 4 ounces, and measuring 51 centimeters in length. A photo of her can be found on Instagram at the link: https://instagram.com/p/9aXk2FM1yc/	1
I'm eagerly looking forward to the arrival of my baby as I am currently 8 months and about to hit the 39 weeks mark.	1
A little baby boy arrived last night! He hasn't been given a name yet, but he weighs 7 pounds 12 ounces and he is absolutely adorable. How exciting!	1
I am 38 weeks pregnant and feeling fed up.	1
The arrival of the baby is expected in two weeks, as I am currently at 37 weeks.	1
There are three weeks remaining until my due date.	1
Saabir has arrived, weighing 7 pounds and 13 ounces.	1
@stuheritage I am currently at 39 weeks and 2 days pregnant, and I just shared your piece with my partner. It has moved me so much that I am now sitting here in my dressing gown, filled with tears and snot. Your writing is truly beautiful.	1
Baby Jax has been born, weighing 8 pounds 15 ounces and measuring 21 and 1/4 inches in length.	1
Gianni, my little double, came into this world at 9:01 am today, weighing 6 pounds and 15 ounces.	1
Thank you, @sayhellodavid! He arrived yesterday morning, Samuel 'Sam' Wilfred, weighing 6lb 4oz, 11 days ahead of schedule!! He's absolutely adorable! X	1
I'm almost at 37 weeks pregnant, just a few weeks left to go. I am really tired of being pregnant but I would like to have my baby on her expected due date, which is May 23. She will be a Gemini, just like me.	1
I am feeling extremely anxious as my due date approaches in four days. All I can think about is how much I want to finally embrace and cuddle my little baby.	1
I don't have much time left before giving birth. I will be 38 weeks pregnant on Monday.	1
I am at the end of my pregnancy and my doctor has told me that I am fully dilated and could go into labor at any moment. This has made me constantly alert and cautious, carefully monitoring every contraction and movement I feel.	1
Hello everyone, I am thrilled to announce that Luca James Ziegelman has arrived! He was born on December 11th, 2016 at 11:16PM, weighing a healthy 7 pounds 15 ounces.	1
I didn't truly comprehend the meaning of love until you entered my life. Everything suddenly became so significant. My affection for you knows no bounds. Welcome to the world, beautiful Ivanna Janelle Diaz, who was born weighing 6lb 15oz and measuring 21in.	1
Will the baby arrive tonight or tomorrow, which is my due date?	1
Our infant son is nearly 9 pounds in weight and measuring as if his due date has already passed.	1
Terrance Lionell Taylor Jr. was born at 2:31 a.m., weighing in at 8 lbs 11 oz and measuring 21.5 inches in length. He is absolutely perfect and bears a strong resemblance to his father. #hesPERFECT #lookinglikedaddy	1
Calvin Scott arrived at 2:44 am weighing 6lb 5oz. He came into the world in just a few pushes! He has a great appetite and is feeding well.	1
I am currently residing in Australia without any private health insurance. I am currently 37 weeks pregnant and have been diagnosed with gestational diabetes. Additionally, I am medically retired due to chronic health issues.	1
Princess has arrived! Weighing 9 pounds and measuring 21 inches, Nyla Ann Holmes is the epitome of perfection!	1
Baby Brynn has arrived! She was born on June 27th at 7:36pm, weighing 8lbs and 5oz and measuring 21 inches in length!	1
Raeya was born on October 24th, 2013 weighing 7 pounds and 13 ounces. You can see a picture of her on Instagram at the link provided.	1
Celebrating the birth of DeLayni Kay Lynn Cudney on December 4th, 2015, at 1:22pm. She weighed 8lbs 3oz.	1
We have a new addition to our family! Our baby girl arrived on December 16th, 2015, at 6:24 am. She weighed 7 pounds 13 ounces and measured 21 inches long. Let me introduce you all to Paityn ♡	1
Today is the day my baby girl was supposed to be born, but she hasn't arrived yet.	1
I will be completing my 37th week today and I have one more week remaining at Dominos.	1
There are only 13 days left until my baby's due date.	1
I am nearing my due date and it seems like Avayah is in no hurry to come out. I can't believe it, I'm just so impatient.	1
Introducing our greatest joy - Camden James Krysh - arrived on January 10, 2015, at 1:20am, weighing 7 lbs 6 oz. He is in perfect health and brings us endless happiness.	1
We are overjoyed to welcome baby Ellie Marie Brencher into our lives! She weighs 7 pounds and 12 ounces, and measures 20 inches long. She adds the final piece to our family puzzle.	1
Raeleigh Annalyn Smith made her appearance in the world on August 25th, 2014, precisely at 9:33pm. Her weight at birth was 7 pounds, 3 ounces. Check out the adorable photo of her on Instagram: http://instagram.com/p/sKzWrlHxwE/	1
I am just three days away from my expected delivery date, but my baby has not yet arrived.	1
I find it deeply upsetting that my mother feels entitled to criticize my weight, especially considering I am currently 37 weeks pregnant.	1
My newborn has arrived :) Weighing 7lb 7ounces and measuring 20 inches long! I am absolutely enamored.	1
I have a doctor's appointment on the 29th, but my doctor doesn't seem to be listening to me. I will be 39 weeks pregnant on Thursday and I asked if anything can be done then, but they don't seem interested in discussing it.	1
Tomorrow marks the day when I am expected to give birth.	1
"I did mention to you months ago that this situation would be uncomfortable," but it's important to note that there is a significant difference between being 38 weeks pregnant and giving birth at 32 weeks.	1
I am currently 40 weeks and 4 days pregnant. It's no big deal, I'm in no hurry for the baby to come. I find it amusing to walk with a waddle like a penguin.	1
I am unable to join everyone in a warm destination because I am 38 weeks pregnant and cannot travel.	1
Apologies for the lack of updates, but I had to undergo an emergency C-Section. I wanted to share the news that my daughter, Evangelyn Abigail Perez, was born on May 25th, 2016 at 8:20am. She weighed 7lbs 9oz and measured 20.5 inches long. We are delighted to welcome our baby girl into the world.	1
My deadline is in 10 days.	1
I only have 4 days left until my baby is due! Hopefully, it won't be much longer now. I feel like I'm about to explode! Haha xx	1
I can't believe that the day I'm due to give birth is only 2 days away. If my baby is not born by Tuesday, I will be scheduled for induction that evening. It feels like I am getting closer to meeting my baby!	1
My scheduled induction for today at 5 pm has been canceled, but I am still due in 10 days, so the baby could arrive at any time.	1
There is no specific pattern for when the baby will come, but I wouldn't mind if she came now. I am almost 38 weeks pregnant.	1
I am incredibly frustrated because my due date has arrived and there are no indications that the baby is coming any time soon.	1
At birth, her weight was recorded as 6 pounds 9 ounces. However, currently, she weighs just 15 pounds.	1
I am currently four days away from my due date, and I feel so overwhelmed by all the changes in my body that I don't even feel like a normal human anymore.	1
I can't believe there are only 8 days left until my due date! But I'm not going to stress about it because I have no control over when it happens.	1
I am expecting my baby tomorrow, but it seems like my baby hasn't gotten the message. In my previous experiences, I have never had a baby arrive before the due date. #pregnancyproblems	1
Can everyone please share the birth weights of your babies? My baby weighed 6 pounds and 10 ounces. Let's use hashtags for newborn, weight, pounds, ounces, and kilos.	1
O'mari has arrived, weighing 7lbs 14oz, and he is absolutely flawless.	1
I am just four days away from my expected delivery date, and both Angel and my mother's phones are not being answered.	1
Carter Ray Jordan, my son, was born on January 31st at 4:58 am. He weighed 7lbs 2oz and measured 20.5 inches in length. My love and happiness have reached new heights upon his arrival.	1
My expected delivery date is just 12 days from now.	1
I am now a mother! My husband and I have joyfully welcomed our daughter, Adeline Michelle, into the world. She weighed 6 pounds and 14 ounces, measured 19 and 3/4 inches in length, and has a beautiful head of blonde hair!	1
In just two weeks, I will be welcoming my baby boy as a wonderful New Year's gift. I am currently 37 weeks pregnant and eagerly anticipating his arrival.	1
Tomorrow is the deadline for my task, everyone.	1
I have just welcomed my adorable son named Jase Malik, with his beautiful freckles! He weighs 8lbs 3oz and I am absolutely smitten with him!	1
I am extremely nervous about the fact that I only have one day left until my due date. It's really frightening.	1
Shakil is incredibly ignorant because he seems to forget that I am in the last stages of pregnancy and he often leaves me alone at home. It's frustrating.	1
I am getting close to my due date, as it is only 15 days away.	1
I am expecting to give birth in three days, but if my baby doesn't arrive naturally, I will have medical intervention to induce labor in 10 days. My midwife approved of this decision because my baby has already received steroid shots.	1
I can't believe how quickly time has flown by - my due date is only 17 days away!	1
Today is the day I am hoping for baby Michael to be born as it is my due date.	1
I can't believe it, but I am currently 38 weeks into my pregnancy, which is the farthest along I've ever been.	1
I am eagerly awaiting the arrival of my baby. Today is the expected due date and I am ready for them to be born.	1
There are only 15 days left until my baby is due to be born!	1
My little boy has gained 9 ounces since he was born and now weighs 7 pounds and 15 ounces.	1
I want to have waffles and mac n cheese for dinner since I'm currently 38 weeks pregnant. This is the only thing I'm craving at the moment.	1
I am delighted to introduce Nova Helene Estrada, who was born on August 21st, 2017, at 2:56pm, weighing 7lbs 6oz. I have never experienced a love as intense as this, and I am completely captivated by my adorable baby.	1
I was supposed to give birth yesterday, but there are no signs of labor yet. The baby weighs 9 pounds, so I am currently undergoing induction to help initiate the process.	1
I'm feeling really annoyed as today is the deadline for my task and it still hasn't been completed.	1
We were expecting the end of the pregnancy to come later, but our baby arrived three days early. Our little girl, Lyla Jayne Goldsmith, was born on 21/07/14, weighing 8lb 2oz. She is absolutely beautiful.	1
Additionally, I am currently in the 39th week of my pregnancy.	1
I can't wait for my due date, it's only 9 days away. I'm really excited to finally meet my little one.	1
Introducing Riley Josephine! She came into the world on July 17th, 2017, at 11:08pm. Weighing an impressive 9lbs 6oz and measuring 22 inches, she is absolutely flawless and in good health.	1
Our daughter has arrived. She was born at 12:48, weighing 7 pounds and 3 ounces, measuring 18.5 inches in length.	1
Tomorrow marks the beginning of the final week before my due date. I am eagerly anticipating the arrival of my baby, Eva.	1
I'm sorry, but you need to leave, little chubby one.. My baby is due in 10 days.	1
Carson Grey Dushack entered our lives yesterday at 3:06 PM, weighing 7 lbs 3 oz. We are overjoyed with how absolutely perfect he is.	1
Today is the day when my baby is supposed to be born, haha...	1
Only 9 days left until my baby's due date!! I'm so excited for my little boy to arrive! I couldn't be prouder to be his mom! #ExcitedMom	1
While watching One Born, I witnessed a remarkable moment where a 16-year-old girl successfully gave birth to a baby weighing 8 pounds and 14 ounces. It was truly incredible to see her strength and resilience, especially considering my own experience with labor when my daughter, Olivia, was born weighing 8 pounds.	1
Hello, my name is Ella Grace! I came into this world at 4:39 pm on June 26, 2013. I measure 19.5 inches in length and weigh 6 pounds and 13 ounces!	1
Charlie Armas Gerardo was born on September 12, 2017 at 7:17 pm, with a weight of 6 pounds and 7 ounces.	1
Joel's measurements at birth were 20 inches tall and 7 pounds 3 ounces. At his 3-month check-up, he measured 26 inches tall and weighed 16 pounds. And at his 5-month check-up, Joel was 28 inches tall and weighed 17 pounds 12 ounces.	1
I am currently 38 weeks pregnant, and the cost of the item was only $39 because it was my first purchase.	1
Paige Marie Francis was born on October 29, 2015, at 1:38 am. She weighed 8 pounds 4 ounces and measured 51 centimeters. You can see a picture of her on Instagram here: [Link to Instagram post].	1
I am feeling impatient and eager for my baby to be born, as I am currently 38 weeks and 5 days pregnant.	1
A little boy was born last night! He hasn't been given a name yet, but he weighs 7 pounds and 12 ounces and is absolutely adorable. So exciting!	1
I'm completely done with being 38 weeks pregnant and ready for it to be over.	1
The arrival of the baby is expected in two weeks, as I am currently 37 weeks pregnant.	1
I only have three weeks left until my baby is due.	1
Saabir has arrived, weighing 7 pounds and 13 ounces.	1
I am 39 weeks and 2 days pregnant, and I just shared this with my partner. Now I am sitting here in a dressing gown, my face covered with tears and snot. This article really touched me.	1
Baby Jax has been born weighing 8 pounds and 15 ounces, measuring 21 and 1/4 inches in length.	1
My mini version, Gianni, came into the world this morning at 9:01 AM, weighing 6 pounds and 15 ounces. He looks just like me!	1
Thank you so much, @sayhellodavid! Our little bundle of joy arrived yesterday morning, named Samuel 'Sam' Wilfred. He weighed 6 pounds and 4 ounces, surprising us by coming 11 days ahead of schedule! He is absolutely adorable! Take care! X	1
I am currently 37 weeks pregnant and only a few weeks away from giving birth. I am really tired of being pregnant, but I would prefer my baby girl to arrive on or after her due date of May 23rd. We are hoping she will be a Gemini like her twin siblings.	1
It won't be much longer at all! I will be 38 weeks pregnant on Monday.	1
I am at the end of my pregnancy and my doctor has informed me that I am fully dilated and could go into labor at any moment. This has made me very aware and cautious about any contractions or movements I feel.	1
Hello everyone, exciting news! Luca James Ziegelman has arrived! He was born on December 11th, 2016 at 11:16 PM, weighing in at 7 pounds 15 ounces.	1
I never truly understood the meaning of love until the day I crossed paths with you. You have brought so much authenticity and depth into my life, and I am deeply in love with you. Our love has become even more profound with the arrival of our beautiful baby girl, Ivanna Janelle Diaz, who was born weighing 6lb 15oz and measuring 21 inches.	1
I am feeling very proud of myself as my baby's weight has now surpassed their birth weight at 7lb9oz. Breastfeeding has been challenging, but I am now much more self-assured and confident.	1
I can't believe it, there are only 15 days left until my baby is due! It feels so surreal.	1
My daughter was born on January 14th, 2015, weighing 6 pounds and 5 ounces. She is incredibly beautiful and intelligent. I feel incredibly fortunate to have her in my life.	1
My daughter was born on July 1st and she weighs 8lb 13oz. I have started following the Slimming World program again after giving birth and have lost a total of 14lb so far.	1
I am currently 37 weeks and 2 days pregnant and finding it extremely difficult to sleep. I am very uncomfortable and sleep seems impossible at the moment. #FeelingExtremelyUncomfortable	1
The expected date for my baby's arrival is tomorrow, but there are very few indications that the baby will be born anytime soon.	1
Introducing our precious little princess, Amelia Grace Brown, who was born on December 5th, 2017 at 04:50. She weighed 7lb 12oz and is absolutely flawless. I am already completely in love with her!	1
At 41 weeks pregnant, if my body is going through the motions of labor but the baby is not coming out, there must be a significant reason for it. Despite the discomfort and pain, I am determined to persist.	1
Introducing our beautiful baby girl, Addisyn Kay Lynn Sian. She arrived into the world at 11:41am, weighing 6 pounds and 15 ounces, and measuring 19 1/4 inches.	1
I am filled with fear as I'm currently 37 weeks pregnant, constantly worrying that my baby might arrive earlier than expected.	1
Baby MIB came into the world on October 22nd, specifically at 7:50 in the evening. This precious little one weighed a remarkable 9 pounds and 11 ounces and measured 23 inches in length! What a joyous occasion! #ecstatic	1
I am grateful to God for everything going well! Our baby boy, Alonso Noel, was born on January 11th, weighing 7 pounds and 9 ounces.	1
Eva LeeAnn Wood came into the world in the early hours of March 1st, 2017, precisely at 2:09 A.M. She weighed a healthy 7 pounds and 8 ounces, and measured approximately 18 and three-quarters inches in length.	1
Certainly! The baby arrived earlier today at 11:18AM, weighing 8lbs 11oz and measuring 21.5 inches in length.	1
I find it hard to believe that I am still attending school when my due date is only three weeks away.	1
I will give birth in just 6 days!	1
@derekmoran5, I want to introduce you to our newborn son, Freddie. He arrived yesterday at 12:19 pm, weighing 7lbs 2oz. We're incredibly excited for you to meet him!	1
Arabella Grace came into the world on August 28th, 2016, with a weight of 7 pounds and 5 ounces and a height of 20 inches.	1
I am currently in my 39th week of pregnancy and I only have 5 days left until my due date.	1
Brixton David-Michael arrived into the world at precisely 7:59 AM today, weighing in at a healthy 7 pounds and 7 ounces.	1
Marcos Ethan Cruz was born on October 31st at 11:15pm. He weighed 6 pounds 9 ounces and measured 19 inches. He was absolutely flawless.	1
Brielle Marie Galvez was born on September 14, 2015 at 3:02am, weighing 7 pounds and 7 ounces, and measuring 20.5 inches in length. My heart is overwhelmed with joy.	1
Bradley and I are preparing to visit our baby. It's hard to believe that I am already 37 weeks pregnant. We are filled with excitement!	1
My mom advises me to support my belly when I sneeze, but I'm currently 38 weeks pregnant. I'm feeling tired of being so big and I would actually be fine if the baby arrives soon.	1
Aubri Gabrielle Little entered the world on November 30th, 2016, precisely at 12:41 am, weighing 7 pounds 10 oz. My affection for her knows no bounds, and I am already captivated by her. I will share some photographs of her later on.	1
@adampotter1  she's quite a headstrong little princess haha, but I'm expecting to give birth in the next day, so I have at most two more weeks left.	1
Today is the day when my baby is expected to be born. It feels incredibly surreal.	1
Are you experiencing lightning crotch, Steph? I'm currently 40 weeks and 2 days pregnant, and I'm finding it difficult to wait any longer.	1
