final tweet	Positive
i literally can't believe i'm due in 14 days, shit i do still stand can't even believe i'm actually going to have myself a girl baby at period. 9 5 months later and i'm still shocked in lol	1
today at precisely 7 : 58pm that our baby doll jessica was officially born! all natural birth, 7lbs at 13oz! i'm almost beyond doubt thankful and heaven blessed for this healthy young beauty!	1
last pregnancy picture! 39w 30 6d.... tomorrow is probably my next due date, i would have been at 10months pregnant. oh … please https : / / instagram. chi com / 2013 p / year 15z - rjpddc /	1
@ tamms2382 but glad that you're... doing it good! 2 less nights than 2 further weeks until my final due date! : )	1
2015 my beautiful girl baby baby boy sam levi born prematurely on 24th or feb 2017 at over 6. 32pm with weighing 7lb of 1oz http : / / fb. me / 1jt3xrkey	1
39wks days this entire week. 9 school days until meeting my due date date. hurry things up i do want to meet our little bunny boy!!!! # 9 impatientmomma	1
when i'm so pretty sure this no one would say half a word because i'ma m 37 weeks pregnant and very not overly pleasant to be be stuck around	1
hopefully less than 20 days to my final due date. when in ur is ready dimitri	1
january 5... days passes until my new due date and i'm not feeling even dilated	1
and my legally due first date is usually tomorrow.. and will the baby come tonight or tomorrow?	1
our first baby big boy is now measuring almost 9lbs & probably measuring me as well if my due date was yesterday	1
theodore terrance walker lionell alfred taylor junior walker born at about 2 : 31 a. b m, 8 lbs 11 oz & feet 21 & 67 a 1 / s 2 unknown inches long # hesperfect # lookinglikedaddy	1
starting at 2 : 44 am, we we welcomed calvin scott at 6lb 5oz. at only a few pushes and now he was all here! he is eating pizza like bloody … hell https : / / at instagram. com / public p / 3cdkklr1pp /	1
i then live alone in australia. ii have no private general health insurance. i'm 37 from wks pregnant. i may have moderate gestational diabetes & am medically retired disabled from hunting chronic	1
princess kate is up here! 9lbs of 1oz 21 square inches of perfection! mama nyla elizabeth ann holmes	1
@ aliciavitarelli my baby brynn always is right here! maybe born 6 / 3 27 hours at 7 : 36pm! although she was now 8lbs long and 5oz and 21 inches this long!	1
hari raeya singh born : 1 10 / 24 / 1990 13 weights 7lbs 13 oz. from http : / / via instagram. see com / head p / v f33twdgtea /	1
now happy born day delayni kay ellen lynn jay cudney archived dec. 04 4th, 2012 2015. @ sunday 1 : 3 22pm 8lbs to 3oz.	1
famous baby wonder girl is born here! she was also born 12 / 16 / march 15 at around 6 : 24am 7lbs 13oz and was 21in short long. so everyone meet mother paityn [UNK]	1
today is not my next due date & my lovely babygirl is currently not here	1
i'm 37 weeks today. next week when is my average last three week day at dirty dominos	1
13 other days until my due day date	1
tomorrow it is before my due date & so i truly don't still think avayah i is either trying to or come rushing out lol like noooooooo omg	1
if i only think now it'′ s disgusting that all my mother has got the right to call me miss fat. and i'm m 37 weeks pregnant for fucksake!	1
my young baby star is here : ) 7lb 7ounces 20 ¹⁄₂ in long! for i'don m in real love	1
i'm even scheduled wednesday for the 29th. it my mother doctor shit ain't tryna hear me. i'm 39 weeks thursday and what i am was busted like being soooo stupid thursday?	1
my due the date is tomorrow.. will the second baby always come tonight tonight or possibly tomorrow?	1
our next baby a boy son is measuring almost 9lbs & measuring as well if my due time date tuesday was yesterday	1
alexander terrance marcus lionell taylor junior born at approximately 2 : 31 an a. m, us 8 ¹⁄₂ lbs from 11 lbs oz & me 21 & a 1 / 2 inches at long # hesperfect # lookinglikedaddy	1
at 2 : 20 44 am, we all welcomed back calvin and scott at the 6lb or 5oz. but only a few pushes and he was right here! he is eating spaghetti like … https : / / her instagram. com / p / 3cdkklr1pp /	1
i live in australia. here have no traditional private patient health safety insurance. but i'll m 37 to wks... pregnant. i have chronic gestational diabetes & medically retired men from chronic	1
oh princess elizabeth is already here! 9lbs 1oz and 21 half inches of perfect perfection! nyla ann holmes	1
@ aliciavitarelli my baby brynn that is here! born right 6 / 27 or at your 7 : 36pm! when she was 8lbs wide and 5oz lbs and about 21 arcs inches long!	1
and raeya muhammad born : at 10 / 24 / 1969 13 7lbs at 13 oz. 1 http : / / at instagram. net com / or p / on f33twdgtea /	1
neil happy born that day al delayni kay lynn cudney dec. oct 4th, 2018 2015. @ thursday 1 : 35 22pm est 8lbs 3oz.	1
the baby girl who is here! unfortunately she was apparently born this 12 / 16 / 15 march at only 6 : 24am in 7lbs 13oz and 21in as long. everyone meet a paityn [UNK]	1
today is definitely my calendar due date & my babygirl dream is sadly not here	1
i'm 37 weeks today. 30 next full week monday is my last regular week at white dominos	1
13 four days until my due dates date	1
tomorrow morning is my due date & fortunately i don'l t ever think avayah is trying her to maybe come out another lol bit like noooooooo oh omg	1
for introducing the shared love of children our entire lives • seth camden james krysh • born 1 - 10 - 15 at around 1 : 05 20am, 7 lbs 6 oz. with healthy mother … http : / / instagram. com / mini p / xstqktu7jr /	1
welcome to and the new world little aunt ellie marie jane brencher, you can complete our family 7 14 lbs 12 oz 5 20 fl … over http : / / about instagram. com / p / wpup5qkzef /	1
raeleigh and annalyn smith - born on august 25th, 16th 2014 tomorrow at 9 : 33pm. physically she is weighs 7 hoop pounds, weights 3 squared ounces and features … http : / / and instagram. com / p / skzwrlhxwe /	1
3 days walks away from my early due date and my baby brother still isn'of t still here	1
i think that it'don s disgusting... that meeting my invalid mother merely has the constitutional right to openly call herself me fat. i'm 37 weeks pregnant for fucksake!	1
since my baby is right here : ) baby 7lb 7ounces just 20 years in long! i'm crazy in love	1
i'm not scheduled for the 29th. and my doctor ain'no t really tryna ever hear on me. i'n m only 39 eight weeks thursday and i was like soooo long thursday?	1
and sooooooo now tomorrow is exactly my first due date date.....	1
' why i also warned you about being rather uncomfortable 7 months ago'yeah, except here i'm already 38 weeks pregnant and you both gave birth at age 32 weeks, no huge difference	1
someone so hip i'd m nearly 40 weeks... 4 ¹⁄₂ days time pregnant. # are thatswhatsup # for norushbaby # of ienjoywalkinglikeapenguin	1
everyone'ass s off to eat somewhere someplace warm and i'm practically stuck here bc i'm almost 38 three weeks pregnant	1
couldn't we post up anythin cuz of my emergency c - love section : evangelyn torres abigail michelle perez angel born wednesday 5 / 04 25 / 26 16 @ 8 : 20am 7lbs 9oz 20. 11 5inch long welcome babygirl	1
my due hearing date is tomorrow in just 10 days..	1
@ dear lucy _ skerritt i've got 4 days left until my due dinner date!!... but hopefully sometime not long now, i shall feel almost like banging a ticking clock timebomb if haha xx	1
just can't believe my saturday due date is leaving in 2 fucking days... & if she's probably not already here even by tuesday i'll be out getting stress induced that night... getting up so close!!	1
mia soo i was supposed today to be induced here today at 5 on pm and my military induction was cancelled. but surely my due date is on in just 10 short days now so she could be here anytime.	1
nothing else consistent. probably she can have come by now tho, i wouldn't mind lol. there im about 38 weeks to tomorrow.	1
well today here is exactly my due date wednesday and there's no other sign of this strange baby. i'd m so fed up	1
when she was born yesterday she was weighing 6lbs 9oz. but now she'cal s only weighing 15 kg lbs	1
maybe 4 more days until my due date. i... i probably don'[UNK] t even truly know how good to really be a human right now first because there already are too many appendages in me	1
only waiting 8 days until hearing my new due death date?!?! well well whatever what that term means, i am definitely letting to it go because i could … https : / / instagram. org com / p / 0ntlchvbmh /	1
my due of date is tomorrow... but im not sure if anyone gave that baby jesus the memo. i'ha ve never had almost a baby hit come naturally before thinking it's my due... date # preggoprobs	1
roll call call! what pounds were in your babies from birth total weights? and mine it was 6lb 10oz! # newborn # weight # 7 pounds # 6 ounces # kilos	1
mike o'mari gael is a finally out here, 7lbs 14oz & says he who is absolutely perfect	1
carter ray david jordan ; born january his 31st 1994 at around 4 : 30 58 am am. stood 7lbs 2oz & 20. 5 inches long. my shattered heart truly has still never been so full	1
my due date tomorrow is 12 more days time away	1
i'm becoming a happy mommy! o hubs and ends i welcomed adeline i michelle! our 6 lbs 14 oz, 19 inch and 8 3 / 16 4 inches long body and a head of blonde hair!	1
today tomorrow i'm back 37 9 weeks two more 4 weeks early and maybe my baby boy will be my new year gift	1
now tmrw is my official due date to y'girls all..	1
we gave after birth care to my beautiful freckle face baby boy jase malik.!!! think he's worth 8lbs 11 3oz.!!!! the i't m falling in new love!	1
now my written due notice date card is gone in 4 days. how cheers to learn that! # contains 9monthspregnant # plus nomakeup # as allnatural # exceptforthefilter	1
im omg im been due back tomorrow. scary shit, sorry man.	1
shakil so goddamn damn near dumb he really must forget that i'ain m 38 weeks pregnant & just be heard leaving me up in half the house with smh	1
my yalllllllllll i have about 15 days remaining til meet my birthday due date	1
@ gwenix i'm due due tomorrow in 3 less days. if the he doesn'f t come on his own, tomorrow i will check induce in 10. my midwife was fine by w / this given that he'min s had enough steroid shots	1
my due date is delayed in 17 different days. damn holy hell crap where did now the time go.	1
well.. today is my expected due date hopefully one baby only michael comes here today	1
oh i's m 38 weeks pregnant! ¡ holy cow! i have never exactly been this obviously pregnant up before	1
everyone i absolutely want for my happy baby already out dammit!!!!! today also is my final due date!!	1
wow my beautiful little man has put himself on a whole 9oz's from his birth canal weight test and now only weighs exactly 7lb at 15oz's	1
waffles stuffed and mac n pop cheese made for this dinner because today i're m 38 weeks pregnant today... and that's all i'en m not craving.	1
still i'd still like to welcome nova helene herrera estrada born at 2 : 56pm 8 / 21 / 17 weighing 7lbs at 6oz so i've ve never quite felt but a strong love like his never before so obsessed bby	1
i say was due yesterday! but no sign either of seeing anything, the baby... is 9 up pounds today so i've m on the process of inducement	1
today saturday is my due date & suddenly i's m not just frustrated	1
thought baby was gunna be just over with and now she that was a 3 in days early, our beautiful baby daughter, twins born nov 21 / 07 / 14 she weighing 8lb 2oz.. lyla joyce jayne goldsmith	1
he oh... and i'l m under 39 weeks preggo...	1
@ sayreenah i certainly have 9 full days until my january due date, i'f m so ready. probably i might just still wanna see him soon already	1
welcome back to the world riley josephine!... she was all born april 7 - oct 17 - 17 at precisely 11 : 08pm. she's got a whopping 9lbs weighing 6 ½ oz and 22 inches. she's healthy and practically perfect..	1
our other baby sister girl jessica is up here. then she arrived just at 12 : 48 weighing six 7lbs 3oz 18. 5in.	1
because tomorrow i will probably have 1 last week until my first due date. okay hurry up eva	1
excuse me mr chunky pie boy, you'd re being officially evicted.. 10 days or til end my year due end date https : / / instagram. com / 2016 p / n bxdrfcafkbm /	1
2 carson grey dushack was immediately welcomed into leading the world yesterday and at 3 : 06 is pm again weighing 7 lbs in 3oz. couldn't be any more than happy just with how perfect he always is	1
well, today'fra s my my birthday due dinner date lol...	1
only 9 30 days until my original due date!!! but i can't wait even for lil'man spider to even get for here!! # 29 proudmommy	1
imagine watching one child born and only a 16 ¹⁄₂ year old girl just gave birth... to a 8lb in 14oz tall baby!! and what a champ! olivia duncan was 8lbs and that was going hard enough	1
hi i'der m ella grace! i actually was born at 4 : 39 39 pm ist on 6 / 26 / ny 13! i't m 19. 5 cu inches tall and 6 five pounds 13 ¹⁄₂ ounces!	1
charlie john armas sebastian gerardo born circa september 12, 2017 @ around 7 : 17 pm, and weighing 6 lbs left and weight 7 oz.	1
richard joel at birth birth : approximately 20 in, 7lbs3oz joel at newborn 3 ½ month cases check : 26 in, 16lbs 3 joel zachary at 5 month case check : 28 days in, 17lb12oz	1
@ dear kuhhhhatec i'm back 38 weeks & counting it too was only $ us 39 because... it was my first day time	1
paige nicole marie francis jones born 1 : 53 38am registered 29 / 10 / march 15 2018 8 pounds pounds or 4 sterling ounces 51 centimetres https : / / instagram. google com / p / 9axk2fm1yc /	1
i am almost 38 and weeks along and 5 days and i'm ready for just this amazing baby boy to come out!	1
tiny kid human arrived late last night! he't s yet again to initially be named, but surely he'bel s 7 lb lbs x 12 oz of pure deliciousness. eek!	1
just i'u m 38 weeks and way over it	1
@ all pauline _ campos the bachelor baby is in due in two eight weeks. i am nearly 37 eighteen weeks.	1
3 weeks till post my monthly due date	1
masjid saabir is located here 7lbs on 13oz	1
@ stuheritage ok i ’ m up 39 wks + about 2 days & i also ’ ve probably just currently read this to my partner. actually i ’ m now quite sitting in a tear & snot - soaked cotton dressing mess gown. lovely piece.	1
baby jax who has arrived 8 000 lbs at 15 oz 21 cm 1 / 4 ¼ inches long	1
and gianni rossi was then born 9 : 20 01 this morning 6lbs to 15oz my little mini me	1
@ only sayhellodavid that thanks! he s was born yesterday morning, replacing samuel'sam'wilfred, only 6lb 4oz, but 11 days died early!! y he'a s a cutie! x x	1
today i'll m 37 weeks and just a couple of more weeks to go.... i'm pretty so pissed over being left pregnant but i want to have had her on her her or after taking her due # may23 # geminitwins	1
almost 4 days ride until my due date and i'can m losing my stupid mind. i just wanna hold my pretty little monster baby babe in my broad arms.	1
@ c jred196 not that long at ya all!!!! well i'm 38 long weeks on school monday december xxx	1
except i'm full term & dilated & my own doc had said i only could go over any other day now. frank has me looking anxiously over my shoulder watching every slightest contraction / movement...	1
hey guys, he's not here!! luca ray james david ziegelman born at approximately 11 : 30 16pm time on december 19th 11th 10 2016 weighing just 7 pounds or 15 ounces.	1
i actually really really didn't even know what love was until until i met my you my small life just got so... real. now i love you. ivanna janelle laura diaz born 6lb and 15oz at 21in	1
my due day date tomorrow is tomorrow.. when will the next baby come tonight or... tomorrow?	1
well our tiny baby boy is measuring almost 9lbs & possibly measuring something as as if my due date was due yesterday	1
terrance lionell taylor nicknamed junior born 2004 at 2 : 08 31 a. s m, 8 ¹⁄₂ lbs weighing 11 oz & weighing 21 & above a 1 / 2 inches high long # 9 hesperfect # lookinglikedaddy	1
at about 2 : 44 am, we welcomed back calvin and scott at 6lb 5oz. only a few pushes over and maybe he was already here! he is out eating just like … https : / / instagram. log com / p / page 3cdkklr1pp /	1
i live somewhere in australia. have unfortunately no private mental health insurance. and i'h m 37 wks a pregnant. no i have gestational state diabetes & are medically retired from a chronic	1
princess holly is here! 9lbs [UNK] 1oz • 21 inches top of perfect perfection! nyla russell ann holmes	1
@ emma aliciavitarelli and baby love brynn marie is here! born 6 / 01 27 at 7 : 36pm! now she was wearing 8lbs and at 5oz and just 21 mm inches long!	1
ali raeya ahmad born : 14 10 / 2017 24 / 2014 13 7lbs 13 oz. oz http : / / youtube instagram. us com / art p / evolution f33twdgtea /	1
2016 happy time born happy day delayni kay bailey lynn jennifer cudney 13 dec. november 4th, 2015. @ original 1 : 22pm est 8lbs 3oz.	1
baby girl that is right here!... she really was born 12 / 16 / 15 hours at 6 : 13 24am 7lbs for 13oz and looked 21in long. then everyone meet paityn as [UNK]	1
today is my last due date & also my babygirl date is not... here	1
i'm 37 breeding weeks today. next racing week is my own last flying week at four dominos	1
13 business days until wednesday my due date	1
tomorrow is not my due birth date & i meant don't you think miss avayah d is trying even to come back out lol him like noooooooo omg	1
introducing the love of two our twin lives 3 • camden james krysh • 13 born 1 - 10 - february 15 at exactly 1 : 20am, 7 t lbs 6 oz. healthy … http : / / not instagram. com / and p / details xstqktu7jr /	1
welcome to discover the other world little miss ellie marie rose brencher, you complete our family 7 lbs 5 12 10 oz 2 20 mm … http : / / instagram. va com / p / new wpup5qkzef /	1
raeleigh annalyn smith - born 2009 on august dec 25th, 2014 left at 9 : 00 33pm. she currently weighs 7 pounds, 3 ounces individually and online … http : / / her instagram. com / and p / 2011 skzwrlhxwe /	1
section 3 seven days drive away from my due date and my new baby boy still isn't here	1
i would think it'really s really disgusting that my mother has chosen the exact right person to call in me fat. but i'm 37 four weeks pregnant for fucksake!	1
oh my baby is right here : ) from 7lb on 7ounces... 20 minutes in long! i'm in love	1
i'm actually scheduled over for the october 29th. maybe my favorite doctor ain't round tryna barely hear me. i'm 39 weeks old thursday and really i was like... soooo thursday?	1
just sooooooo starting tomorrow and is on my actual due date.....	1
' yeah i has warned you guys about being uncomfortable eighteen months ago ago'yeah, except for i'm 38 weeks and pregnant and now you gave birth at around 32 weeks, huge difference	1
now so i'am m about 40 9 weeks 0 4 48 days 3 pregnant. # why thatswhatsup # why norushbaby # that ienjoywalkinglikeapenguin	1
nearly everyone's off together to go somewhere seriously warm and i'm stuck here bc and i'm 38 weeks of pregnant	1
couldn't post anythin cuz of i my online emergency contact c - section : evangelyn abigail perez born wednesday 5 / 25 / 2010 16 @ 8 : 20am est 7lbs end 9oz est 20. 48 5inch long hair welcome babygirl	1
my due to date program is due in 10 days..	1
@ tara lucy _ smith skerritt i've got 4 good days remaining until my due back date!!... hopefully tomorrow not long as now, i feel somewhat like like a ticking timebomb at haha xx	1
can't believe my due date soon is in 2 days... & now if the she's truly not waiting here by maybe tuesday i'fi ll be getting nausea induced that night... oh getting so fucking close!!	1
soo i saw was not supposed to be induced today at 5 pm and my induction was cancelled. anyway but unfortunately my due due time date is in only 10 days so perhaps she could actually be here at anytime.	1
she nothing there consistent. she can be come by now... tho, i wouldn't mind no lol. im 38 weeks in tomorrow.	1
today is my due tomorrow date and there's obviously no sign attached of getting this gorgeous baby. sure i'd m so fed up	1
and when she was home born she always was 6lbs or 9oz. now she'll s been only 15 lbs	1
4 days until monday my next due appointment date. well i... i but don't even even know how yet to be human right away now mostly because there are too great many appendages in me	1
only 8 business days until to my due day date?!?! well and whatever that answer means, i sure am finally letting it go... because i could … https : / / instagram. com / type p / x 0ntlchvbmh /	1
• my due date tonight is tomorrow... but im not entirely sure but anyone gave my baby the first memo. i'u ve never had any a baby come naturally there before but it's due date # preggoprobs	1
roll of call! what exactly were your five babies and birth weights weights? mine was 6lb 10oz! # 11 newborn # new weight # 20 pounds # ounces # 10 kilos	1
o'day mari is also finally here, to 7lbs no 14oz & he actually is absolutely fucking perfect	1
then im doing 4 days away from my due date and angel and al my moms whose phones are going just to be voicemail	1
carter robert ray jordan ; born 1 january 31st 2007 at 4 : 58 am. weighing 7lbs 1 2oz & 20. 9 5 inches long. my racing heart rate has really never been so... full	1
my due year date is exactly 12 days flying away	1
i'm a mommy! a hubs and i welcomed her adeline as michelle! 6 lbs with 14 in oz, weighs 19 and 3 / 4 earth inches long and about a head of pure blonde long hair!	1
today i'm 37 weeks make two six more weeks and i my baby sister boy matthew will be expecting my new year gift	1
and tmrw 2017 is my due day date y'lot all..	1
mama gave birth to my beautiful angel freckle face of baby boom boy jase austin malik.!!! where he's 8lbs above 3oz.!!!! now i'a m in a love!	1
oh omg... im due tomorrow. scary crazy shit, dead man.	1
unless shakil gets so damn smoking dumb he must forget like that and i'm m over 38 weeks pregnant & just be leaving me in all the house smh	1
i yalllllllllll since i have 15 full days til when my due date date	1
@ gwenix i'm due out in 3 days. if he really doesn't please come on his damn own, then i will induce in 10. my midwife was fine w / this the given time that summer he'll s had four steroid shots	1
my other due date date is in 17 days. in holy crap like where did the question time go.	1
well.. today is supposedly my due date or hopefully when baby michael comes along today	1
i'm m just 38 weeks pregnant! the holy cow! i may have probably never been really this pregnant before	1
i really want you my little baby already sorted out while dammit!!!!! today is on my due date!!	1
maybe 15 more days until my earliest due date!	1
my little tin man son has put on to a nice whole 9oz'to s from exceeding his birth weight and he now weighs around 7lb 15oz's	1
waffles are and mac n cheese only for a dinner because but i'm 38 weeks more pregnant today too and that'wasn s probably all i'm freaking craving.	1
i'd d very like to welcome nova helene estrada estrada born at 2 : 56pm may 8 / jan 21 / aug 17 weighing 11 7lbs 6oz i'just ve never felt a love like even his type before so obsessed bby	1
who i know was due yesterday! but no sign of anything, the baby is below 9 pounds and so i'l m watching the main process of the inducement	1
today is just my due date & i'll m also just really frustrated	1
thought this baby was gunna be over and she was dead 3 days period early, our new beautiful baby daughter, really born thursday 21 / 09 07 / 14 weighing roughly 8lb at 2oz.. lyla sara jayne goldsmith	1
oh well and now i'l m 39 9 weeks preggo...	1
@ least sayreenah i would have 9 days until my due date date, if i'm never so ready. well i might just wanna see from him already	1
... welcome to discover the world riley josephine! she was born 7 - 17 - road 17 at around 11 : 08pm. she's got a whopping 9lbs about 6 cu oz and 22 cm inches. she's s healthy and... perfect..	1
our baby girl melissa is already here.... she arrived at approximately 12 : 45 48 with weighing 7lbs 4 3oz 18. 5in.	1
for tomorrow i will just have 1 week until around my due date. who hurry this up eva	1
please excuse me my chunky man boy, you're really being evicted.. 10 missed days work til late my monthly due date https : / / via instagram. com / p / w bxdrfcafkbm /	1
13 carson grey david dushack junior was welcomed officially into the world yesterday at almost 3 : 06 pm weighing 7 lbs to 3oz. couldn't be any more more thoroughly happy with father how perfect boy he is	1
ma well, today'i s my holiday due date like lol...	1
wait 9 days not until giving my due day date!!! i can'the t wait for little lil'red man overboard to go get here!! # proudmommy	1
watching another one born and a 16 year old little girl just gave oral birth overnight to a massive 8lb 14oz girl baby!! well what was a champ! luckily olivia was 8lbs long and that was hard enough	1
hi and i'm ella grace! i actually was born at 4 : 39 39 pm ist on monday 6 / 26 / 11 13! ah i'm 19. 93 5 inches and has 6 gold pounds 13 ounces!	1
jorge charlie armas gerardo ii born september 12, 2017 @ 7 : 17 pm, and weighing only 6 lbs 6 and carrying 7 fl oz.	1
joel in at birth : 20 in, and 7lbs3oz like joel there at births 3 first month check : around 26 in, 16lbs joel here at birth 5 month check : 28 in, about 17lb12oz	1
@ kuhhhhatec think i're m going 38 54 weeks & it was only $ 2 39 because yep it was my twenty first time	1
olivia paige sarah marie francis thomas born tuesday 1 : 23 38am sunday 29 / 10 / 15 8 inches pounds to 4 kilograms ounces 51 centimetres behind https : / / instagram. com / p / 9axk2fm1yc /	1
i am 38 weeks and... 5 days and now i'm ready... for that this wonderful baby to have come out!	1
our tiny human has arrived early last night! meaning he'z s probably yet to be named, but he's under 7 lbs 12 oz smelling of pure deliciousness. no eek!	1
there i've m 38 weeks here and over it	1
@ twitter pauline _ kate campos the first baby is due up in two more weeks. i am still 37 weeks.	1
3 weeks till midnight my due date date	1
one saabir is common here 7lbs then 13oz	1
@ stuheritage i ’ m waiting 39 minutes wks + 2 days & i ’ ve just read this to be my partner.... i ’ m so now forever sitting in a red tear & sweat snot - soaked dressing dressing gown. my lovely piece.	1
baby jax it has also arrived 8 lbs 15 9 oz 21 1 / 6 4 cubic inches long	1
how gianni was yesterday born was 9 : 16 01 this weekday morning 6lbs about 15oz my mini me	1
@ she sayhellodavid... thanks! he also was born yesterday saturday morning, samuel'sam'wilfred wilfred, about 6lb to 4oz, 11 days early!! he'e s just a cutie! but x	1
i'd m 37 short weeks just getting a couple of weeks to go.... i'm so hurt over being pregnant but i also want to and have her on her bed or die after having her due # may23 # joan geminitwins	1
@ jred196 not long ago at that all!!!! i'm m 38 more weeks until on christmas monday x xxx	1
baby i'm full to term & dilated & happy my doc said i could finally go any day now. has it me looking over from my right shoulder saw every painful contraction / rhythmic movement...	1
hey big guys, baby he's actually here!! luca paul james ziegelman born at tuesday 11 : 23 16pm utc on sunday december 11th 2016 but weighing 7 pounds 15 fluid ounces.	1
i really didn't know about what heart love i was exactly until i finally met you my life now just just got all so real. i love you. by ivanna janelle diaz was born 6lb 15oz at 21in	1
still feeling really a chuffed with myself as baby is right now just above its birth weight rating at 7lb9oz. yes it's sure been tough at beastfeeding but much more confident here now!	1
15 days only until my due date i holy bloody crap # surreal	1
# parentchallenge born wednesday 1 / 14 / 2017 15 all 6 lbs of 5 ½ oz. and my baby girl is so goddamn beautiful and smart. blessed mother w the new best.	1
my other little girl was that born 1st july and it weighs 8lb 13oz full back fat on you slimming world since the birth and lost the 14lb through total muscle since	1
13 i'm 37 weeks and 2 rainy days today tomorrow and sleep patterns is coming nowhere in with my near immediately future # uncomfortableasfuck	1
my due when date is tomorrow but and still this beautiful baby is still showing pretty minimal signs... of going well aaaaaaanywhere!	1
our little twins princess amelia and grace brown born on 12 / 27 5 / 22 17 at 04 : 30 50... weighing 7lb 12oz. aunt amelia is just perfect beautiful and i'm completely besotted already!	1
now i'm now 41 and weeks. if he's clearly not coming out late and my body is trying, there's now probably too damn good a reason. now i'm stil in pain but i'm still	1
welcome to the world once my baby precious angel addisyn leigh kay lynn sian born at 11 : 15 41am, was weighing about 6 pounds and height 15 ounces, and measuring five 19 4 1 / 3 4 inches	1
i'm 37 4 weeks pregnant currently and i'm fucking so fucking scared that someday she'll only come before	1
baby happy mib was born on 10 / december 22 at exactly 7 : 03 50 2 pm. ¹ weighing in at the 9 8 lbs 11 oz, and 23 eight inches long! : ) # happy happy	1
thank you to god! everything else came rolling out incredibly good! nicolas alonso noel born 1 / 4 11 / 14 7lbs 9oz	1
eva leeann ruth wood was herself born there at 2 : 09 a. a m. pt on march 8 1st 2017. she is roughly 7 pounds 8 roman ounces deep and 18 inches and 3 one quarters long.	1
and yup. came sliding in at precisely 11 : 18am at only 8lbs 11oz cool and measured 21. 5 inches overall long.	1
i can't quite believe my first due dates in 3 weeks pass and i'm certainly still stuck in secondary school	1
now my due date date here is in 6 days!!!	1
@ name derekmoran5 i meet baby man freddie born monday 1219pm yesterday baby weighing on 7lbs 2oz cant wait anymore for another you chance to meet him!	1
arabella grace rogers was also born 8 / 28 / 16 in weighing 7lbs • 5 fl oz, not 20in	1
i'm 39 weeks ago an and i will have of 5 days to go	1
brixton david - michael was born just at 11 7 : 47 59 hours this morning. weight 7 in lbs 7 oz.	1
marcos ivan ethan da cruz born : 14 october 31st 1994 at 11 : 05 15pm 6 tons pounds 9 ounces & 19 inches. his form perfect	1
brielle mary marie celeste galvez got born on 9 / 14 / 15 @ approximately 3 : 02am, 7lbs lbs 7oz, ph 20. 5 ¾ inches my beat heart really is so full	1
hello me and bradley you r just getting ready to we go and see r baby cant you believe you im getting 37 weeks today.. so freaking excited how we r!!!	1
my mom tells me not to maybe hold something up against my stomach whenever i sneeze but i'm actually 38 weeks out pregnant... i'm already over being this huge & it beyond ok if only the baby never comes	1
miss aubri gabrielle little, born 2014 in la november 30th, 2016 at 12 : 41 am. 7 pounds 10 oz.... i'm in serious love already. ok i'll then post my pictures again later	1
@ adampotter1 she'′ s always such a stubborn little diva... haha, but i'm due tomorrow though today so only another take 2 4 weeks back at in the most	1
but today'he s my new due to date.. crazyyy	1
you got me the dreaded and lightening up crotch on steph? i'm 40 weeks + 2 days pregnant, no it's s so not fun just this waiting sitting around!	1
entry 13 three days still away from my due date	1
